section,"Art, design, crafts",Audiovisual,Content writing,Fiction writing,Mix
dynamic,0.48,0.35714285714285715,0.3333333333333333,0.5333333333333333,0.2777777777777778
project_example,0.6379310344827587,0.6153846153846154,0.6071428571428571,0.6666666666666666,0.4090909090909091
walkthrough,0.8252427184466019,0.9,0.8771929824561403,0.6770833333333334,0.5675675675675675
