transcript_id,speaker_role,section,sent_id,verb_word_id,dep_word_id,verb_lemma,verb_category,dep_role,deprel,dep_text,dep_lemma,agent_type,cluster,cluster_long
creativity_0001,user,project_example,6,12,11,end,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0001,user,dynamic,1,4,5,keep,IDEATION,OBJECT,obj,control,control,,Audiovisual,4
creativity_0001,user,dynamic,2,10,9,want,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0001,user,dynamic,2,10,13,want,AI_USE,OBJECT,obj,names,name,,Audiovisual,4
creativity_0001,user,dynamic,3,12,11,hear,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0001,user,dynamic,3,12,13,hear,AI_USE,OBJECT,obj,it,it,,Audiovisual,4
creativity_0001,user,dynamic,3,20,18,want,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0001,user,dynamic,3,20,21,want,AI_USE,OBJECT,obj,it,it,,Audiovisual,4
creativity_0001,user,dynamic,5,17,16,get,IDEATION,SUBJECT,nsubj,we,we,HUMAN,Audiovisual,4
creativity_0001,user,changed_aspects,1,11,10,get,IDEATION,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0001,user,changed_aspects,1,11,12,get,IDEATION,OBJECT,obj,me,I,,Audiovisual,4
creativity_0001,user,concerns,2,9,11,sell,AUTHORSHIP,OBJECT,obj,sort,sort,,Audiovisual,4
creativity_0001,user,concerns,2,20,22,make,CONTROL,OBJECT,obj,beats,beat,,Audiovisual,4
creativity_0001,user,concerns,3,9,7,see,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0001,user,concerns,3,16,14,assist,AUTHORSHIP,SUBJECT,nsubj,that,that,OTHER,Audiovisual,4
creativity_0001,user,concerns,3,16,17,assist,AUTHORSHIP,OBJECT,obj,you,you,,Audiovisual,4
creativity_0001,user,concerns,3,24,26,write,AUTHORSHIP,OBJECT,obj,parts,part,,Audiovisual,4
creativity_0001,user,concerns,5,1,3,write,AUTHORSHIP,OBJECT,obj,rhythms,rhythm,,Audiovisual,4
creativity_0001,user,concerns,6,8,7,help,AI_USE,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0001,user,concerns,7,10,9,like,IDEATION,SUBJECT,nsubj,who,who,OTHER,Audiovisual,4
creativity_0001,user,concerns,7,12,13,use,AI_USE,OBJECT,obj,AI,AI,,Audiovisual,4
creativity_0001,user,concerns,8,11,12,play,AI_USE,OBJECT,obj,instruments,instrument,,Audiovisual,4
creativity_0001,user,concerns,10,5,7,find,IDEATION,OBJECT,obj,vibe,vibe,,Audiovisual,4
creativity_0001,user,concerns,10,13,12,think,IDEATION,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0001,user,concerns,10,14,18,take,AI_USE,OBJECT,obj,direction,direction,,Audiovisual,4
creativity_0001,user,concerns,10,33,32,make,CONTROL,SUBJECT,nsubj,that,that,OTHER,Audiovisual,4
creativity_0001,user,concerns,10,33,34,make,CONTROL,OBJECT,obj,art,art,,Audiovisual,4
creativity_0001,user,future,2,14,12,hear,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0001,user,future,4,18,17,seem,AI_USE,SUBJECT,nsubj,that,that,OTHER,Audiovisual,4
creativity_0001,user,future,5,8,10,edit,AUTHORSHIP,OBJECT,obj,song,song,,Audiovisual,4
creativity_0001,user,future,6,5,3,do,AI_USE,SUBJECT,nsubj,machine,machine,AI,Audiovisual,4
creativity_0001,user,future,6,5,6,do,AI_USE,OBJECT,obj,that,that,,Audiovisual,4
creativity_0001,user,future,7,8,14,see,AI_USE,OBJECT,obj,music,music,,Audiovisual,4
creativity_0001,user,future,8,15,17,take,AI_USE,OBJECT,obj,streams,stream,,Audiovisual,4
creativity_0001,user,extra_comments,1,5,4,come,IDEATION,SUBJECT,nsubj,that,that,OTHER,Audiovisual,4
creativity_0002,user,basic_job_description,1,8,11,write,AUTHORSHIP,OBJECT,obj,content,content,,Content writing,2
creativity_0002,user,basic_job_description,1,16,15,involve,AUTHORSHIP,SUBJECT,nsubj,which,which,OTHER,Content writing,2
creativity_0002,user,basic_job_description,1,17,18,use,AI_USE,OBJECT,obj,keywords,keyword,,Content writing,2
creativity_0002,user,basic_job_description,1,20,21,produce,AUTHORSHIP,OBJECT,obj,content,content,,Content writing,2
creativity_0002,user,basic_job_description,1,24,22,help,AI_USE,SUBJECT,nsubj,that,that,OTHER,Content writing,2
creativity_0002,user,basic_job_description,1,24,25,help,AI_USE,OBJECT,obj,websites,website,,Content writing,2
creativity_0002,user,basic_job_description,2,13,14,give,IDEATION,OBJECT,obj,updates,update,,Content writing,2
creativity_0002,user,basic_job_description,3,23,26,require,AI_USE,OBJECT,obj,number,number,,Content writing,2
creativity_0002,user,walkthrough,1,13,12,go,AUTHORSHIP,SUBJECT,nsubj,time,time,OTHER,Content writing,2
creativity_0002,user,walkthrough,1,18,17,continue,AI_USE,SUBJECT,nsubj,capabilities,capability,OTHER,Content writing,2
creativity_0002,user,walkthrough,2,15,16,feed,AUTHORSHIP,OBJECT,obj,it,it,,Content writing,2
creativity_0002,user,walkthrough,2,15,17,feed,AUTHORSHIP,OBJECT,obj,prompts,prompt,,Content writing,2
creativity_0002,user,walkthrough,2,19,20,generate,AI_USE,OBJECT,obj,content,content,,Content writing,2
creativity_0002,user,walkthrough,3,17,18,check,AI_USE,OBJECT,obj,it,it,,Content writing,2
creativity_0002,user,walkthrough,4,10,9,have,IDEATION,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0002,user,walkthrough,4,12,14,do,AI_USE,OBJECT,obj,presentation,presentation,,Content writing,2
creativity_0002,user,walkthrough,4,16,17,need,AUTHORSHIP,OBJECT,obj,help,help,,Content writing,2
creativity_0002,user,project_example,1,4,6,write,AUTHORSHIP,OBJECT,obj,pages,page,,Content writing,2
creativity_0002,user,project_example,2,16,11,write,AUTHORSHIP,SUBJECT,nsubj:pass,content,content,OTHER,Content writing,2
creativity_0002,user,project_example,3,5,6,use,AI_USE,OBJECT,obj,AI,AI,,Content writing,2
creativity_0002,user,project_example,3,11,12,craft,AUTHORSHIP,OBJECT,obj,paragraphs,paragraph,,Content writing,2
creativity_0002,user,project_example,3,19,20,make,CONTROL,OBJECT,obj,sound,sound,,Content writing,2
creativity_0002,user,project_example,4,11,9,help,AI_USE,SUBJECT,csubj,using,use,OTHER,Content writing,2
creativity_0002,user,project_example,4,9,10,use,AI_USE,OBJECT,obj,AI,AI,,Content writing,2
creativity_0002,user,project_example,4,11,12,help,AI_USE,OBJECT,obj,me,I,,Content writing,2
creativity_0002,user,project_example,4,18,20,save,AI_USE,OBJECT,obj,lot,lot,,Content writing,2
creativity_0002,user,project_example,4,26,27,research,IDEATION,OBJECT,obj,things,thing,,Content writing,2
creativity_0002,user,dynamic,1,7,10,do,AI_USE,OBJECT,obj,lifting,lift,,Content writing,2
creativity_0002,user,dynamic,1,12,15,write,AUTHORSHIP,OBJECT,obj,content,content,,Content writing,2
creativity_0002,user,dynamic,1,25,26,make,CONTROL,OBJECT,obj,edits,edit,,Content writing,2
creativity_0002,user,dynamic,1,28,32,give,IDEATION,OBJECT,obj,feel,feel,,Content writing,2
creativity_0002,user,dynamic,1,34,38,remove,AUTHORSHIP,OBJECT,obj,phrases,phrase,,Content writing,2
creativity_0002,user,dynamic,2,16,18,be,AUTHORSHIP,SUBJECT,nsubj,hallucinations,hallucination,OTHER,Content writing,2
creativity_0002,user,dynamic,3,10,6,have,IDEATION,SUBJECT,nsubj,prompt,prompt,OTHER,Content writing,2
creativity_0002,user,dynamic,3,8,7,start,IDEATION,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0002,user,dynamic,3,10,13,have,IDEATION,OBJECT,obj,information,information,,Content writing,2
creativity_0002,user,dynamic,3,21,20,mean,AI_USE,SUBJECT,nsubj,which,which,OTHER,Content writing,2
creativity_0002,user,dynamic,3,25,23,drive,CONTROL,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0002,user,dynamic,3,25,28,drive,CONTROL,OBJECT,obj,decisions,decision,,Content writing,2
creativity_0002,user,dynamic,3,31,32,get,IDEATION,OBJECT,obj,AI,AI,,Content writing,2
creativity_0002,user,dynamic,3,34,35,do,AI_USE,OBJECT,obj,what,what,,Content writing,2
creativity_0002,user,dynamic,3,37,36,want,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0002,user,dynamic,3,37,38,want,AI_USE,OBJECT,obj,it,it,,Content writing,2
creativity_0002,user,changed_aspects,1,9,7,save,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0002,user,changed_aspects,2,8,10,produce,AUTHORSHIP,OBJECT,obj,words,word,,Content writing,2
creativity_0002,user,concerns,1,15,14,continue,AI_USE,SUBJECT,nsubj,AI,AI,AI,Content writing,2
creativity_0002,user,concerns,1,21,23,need,AUTHORSHIP,OBJECT,obj,oversight,oversight,,Content writing,2
creativity_0002,user,concerns,1,28,26,do,AI_USE,SUBJECT,nsubj,it,it,OTHER,Content writing,2
creativity_0002,user,concerns,2,19,20,change,AUTHORSHIP,OBJECT,obj,what,what,,Content writing,2
creativity_0002,user,concerns,2,22,21,look,IDEATION,SUBJECT,nsubj,SEO,seo,OTHER,Content writing,2
creativity_0002,user,future,1,13,12,continue,AI_USE,SUBJECT,nsubj,it,it,OTHER,Content writing,2
creativity_0002,user,future,1,17,19,save,AI_USE,OBJECT,obj,time,time,,Content writing,2
creativity_0002,user,extra_comments,1,4,5,thank,AI_USE,OBJECT,obj,you,you,,Content writing,2
creativity_0003,user,basic_job_description,2,17,15,learn,IDEATION,SUBJECT,nsubj,who,who,OTHER,Content writing,2
creativity_0003,user,basic_job_description,2,17,18,learn,IDEATION,OBJECT,obj,tap,tap,,Content writing,2
