transcript_id,section,sent_id,dep_word_id,head,deprel,dep_lemma,dep_text,dep_upos,verb_word_id,verb_lemma,verb_category,edge_role_detail,agency_role,group,long_cluster
creativity_0001,walkthrough,4,14,13,iobj,chatgpt,ChatGPT,PROPN,13,ask,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,walkthrough,5,2,13,csubj,get,getting,VERB,13,lead,CONTROL,SUBJECT,AGENT,Audiovisual,4
creativity_0001,project_example,3,2,3,nsubj,i,I,PRON,3,tell,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,project_example,3,4,3,iobj,chatgpt,ChatGPT,PROPN,3,tell,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,project_example,4,14,16,nsubj,it,it,PRON,16,use,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,project_example,4,18,16,obj,info,info,NOUN,16,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,project_example,5,2,3,nsubj,i,I,PRON,3,tell,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,project_example,5,4,3,iobj,it,it,PRON,3,tell,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,project_example,5,9,3,obj,name,names,NOUN,3,tell,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,dynamic,1,5,4,obj,control,control,NOUN,4,keep,CONTROL,OBJECT,PATIENT,Audiovisual,4
creativity_0001,dynamic,5,1,4,nsubj,i,I,PRON,4,tell,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,dynamic,5,5,4,iobj,it,it,PRON,4,tell,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,dynamic,5,8,4,ccomp,cheesy,cheesy,ADJ,4,tell,AI_USE,CCOMP,OTHER,Audiovisual,4
creativity_0001,changed_aspects,1,1,3,nsubj,i,I,PRON,3,spend,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,changed_aspects,1,5,3,obj,time,time,NOUN,3,spend,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,changed_aspects,1,6,3,xcomp,brainstorm,brainstorming,VERB,3,spend,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0001,concerns,3,14,16,nsubj,that,that,PRON,16,assist,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,concerns,3,17,16,obj,you,you,PRON,16,assist,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,concerns,3,26,24,obj,part,parts,NOUN,24,write,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0001,concerns,5,3,1,obj,rhythm,rhythms,NOUN,1,write,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0001,concerns,6,7,8,nsubj,it,it,PRON,8,help,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,concerns,7,13,12,obj,ai,AI,NOUN,12,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,concerns,10,12,13,nsubj,i,I,PRON,13,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0001,concerns,10,14,13,xcomp,take,taking,VERB,13,think,IDEATION,XCOMP,OTHER,Audiovisual,4
creativity_0001,concerns,10,23,13,ccomp,mistake,mistake,NOUN,13,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0001,future,5,1,2,nsubj,i,I,PRON,2,spend,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,future,5,3,2,obj,hour,hours,NOUN,2,spend,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,future,5,10,8,obj,song,song,NOUN,8,edit,CONTROL,OBJECT,PATIENT,Audiovisual,4
creativity_0002,basic_job_description,1,11,8,obj,content,content,NOUN,8,write,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,basic_job_description,1,18,17,obj,keyword,keywords,NOUN,17,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,basic_job_description,1,21,20,obj,content,content,NOUN,20,produce,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,basic_job_description,1,22,24,nsubj,that,that,PRON,24,help,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,basic_job_description,1,25,24,obj,website,websites,NOUN,24,help,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,basic_job_description,1,26,24,xcomp,rank,rank,VERB,24,help,AI_USE,XCOMP,OTHER,Content writing,2
creativity_0002,basic_job_description,2,1,3,nsubj,i,I,PRON,3,manage,CONTROL,SUBJECT,AGENT,Content writing,2
creativity_0002,basic_job_description,2,6,3,obj,team,team,NOUN,3,manage,CONTROL,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,2,1,2,nsubj,i,I,PRON,2,use,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,walkthrough,2,3,2,obj,it,it,PRON,2,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,2,16,15,obj,it,it,PRON,15,feed,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,2,17,15,obj,prompt,prompts,NOUN,15,feed,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,2,20,19,obj,content,content,NOUN,19,generate,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,3,1,4,nsubj,i,I,PRON,4,use,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,walkthrough,3,5,4,obj,it,it,PRON,4,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,3,18,17,obj,it,it,PRON,17,check,CONTROL,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,4,2,5,nsubj,i,I,PRON,5,reach,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,project_example,1,6,4,obj,page,pages,NOUN,4,write,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,project_example,2,11,16,nsubj:pass,content,content,NOUN,16,write,AUTHORSHIP,SUBJECT_PASS,PATIENT,Content writing,2
creativity_0002,project_example,3,6,5,obj,ai,AI,PROPN,5,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,project_example,3,12,11,obj,paragraph,paragraphs,NOUN,11,craft,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,project_example,4,9,11,csubj,use,using,VERB,11,help,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,project_example,4,10,9,obj,ai,AI,PROPN,9,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,project_example,4,12,11,obj,i,me,PRON,11,help,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,project_example,4,13,11,xcomp,achieve,achieve,VERB,11,help,AI_USE,XCOMP,OTHER,Content writing,2
creativity_0002,project_example,4,20,18,obj,lot,lot,NOUN,18,save,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,project_example,4,27,26,obj,thing,things,NOUN,26,research,IDEATION,OBJECT,PATIENT,Content writing,2
creativity_0002,dynamic,1,15,12,obj,content,content,NOUN,12,write,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,dynamic,3,23,25,nsubj,i,I,PRON,25,drive,CONTROL,SUBJECT,AGENT,Content writing,2
creativity_0002,dynamic,3,28,25,obj,decision,decisions,NOUN,25,drive,CONTROL,OBJECT,PATIENT,Content writing,2
creativity_0002,changed_aspects,1,7,9,nsubj,i,I,PRON,9,save,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,changed_aspects,2,10,8,obj,word,words,NOUN,8,produce,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,concerns,2,21,22,nsubj,seo,SEO,NOUN,22,look,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,future,1,19,17,obj,time,time,NOUN,17,save,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,basic_job_description,5,3,4,nsubj,i,I,PRON,4,create,AUTHORSHIP,SUBJECT,AGENT,Content writing,2
creativity_0003,basic_job_description,5,7,4,obj,combination,combination,NOUN,4,create,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0003,basic_job_description,6,4,5,nsubj,i,I,PRON,5,create,AUTHORSHIP,SUBJECT,AGENT,Content writing,2
creativity_0003,basic_job_description,6,8,5,obj,piece,piece,NOUN,5,create,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0003,basic_job_description,7,1,3,nsubj,i,I,PRON,3,develop,IDEATION,SUBJECT,AGENT,Content writing,2
creativity_0003,basic_job_description,7,7,3,obj,style,style,NOUN,3,develop,IDEATION,OBJECT,PATIENT,Content writing,2
creativity_0003,walkthrough,1,1,2,nsubj,i,I,PRON,2,use,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0003,walkthrough,1,4,2,obj,tool,tools,NOUN,2,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,walkthrough,1,9,8,obj,i,me,PRON,8,help,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,walkthrough,1,10,8,xcomp,build,build,VERB,8,help,AI_USE,XCOMP,OTHER,Content writing,2
creativity_0003,walkthrough,1,14,10,obj,structure,structure,NOUN,10,build,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0003,walkthrough,2,6,5,iobj,ai,AI,PROPN,5,ask,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,walkthrough,2,8,5,xcomp,give,give,VERB,5,ask,AI_USE,XCOMP,OTHER,Content writing,2
creativity_0003,project_example,2,3,4,nsubj,i,I,PRON,4,ask,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0003,project_example,2,5,4,iobj,ai,AI,PROPN,4,ask,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,2,7,4,xcomp,come,come,VERB,4,ask,AI_USE,XCOMP,OTHER,Content writing,2
creativity_0003,project_example,4,4,1,obj,class,classes,NOUN,1,plan,CONTROL,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,5,1,3,nsubj,ai,AI,PROPN,3,save,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0003,project_example,5,4,3,iobj,i,me,PRON,3,save,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,5,7,3,obj,time,time,NOUN,3,save,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,6,3,5,nsubj,i,I,PRON,5,spend,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0003,project_example,6,7,5,obj,lot,lot,NOUN,5,spend,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,6,13,10,obj,plan,plans,NOUN,10,research,IDEATION,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,7,15,18,obj,that,that,PRON,18,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,7,16,18,nsubj,i,I,PRON,18,use,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0003,project_example,10,10,7,obj,plan,plans,NOUN,7,edit,CONTROL,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,11,4,6,nsubj,i,I,PRON,6,ask,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0003,project_example,11,7,6,iobj,ai,AI,PROPN,6,ask,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,11,9,6,xcomp,make,make,VERB,6,ask,AI_USE,XCOMP,OTHER,Content writing,2
creativity_0003,project_example,11,15,17,nsubj,i,I,PRON,17,ask,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0003,project_example,11,18,17,iobj,it,it,PRON,17,ask,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,project_example,11,20,17,xcomp,add,add,VERB,17,ask,AI_USE,XCOMP,OTHER,Content writing,2
creativity_0003,dynamic,1,7,9,nsubj,i,I,PRON,9,drive,CONTROL,SUBJECT,AGENT,Content writing,2
creativity_0003,dynamic,1,9,5,ccomp,drive,driving,VERB,5,think,IDEATION,CCOMP,OTHER,Content writing,2
creativity_0003,dynamic,1,12,9,obj,decision,decisions,NOUN,9,drive,CONTROL,OBJECT,PATIENT,Content writing,2
creativity_0003,dynamic,3,36,32,ccomp,start,start,VERB,32,ask,AI_USE,CCOMP,OTHER,Content writing,2
creativity_0003,changed_aspects,4,1,2,nsubj,ai,AI,PROPN,2,allow,CONTROL,SUBJECT,AGENT,Content writing,2
creativity_0003,changed_aspects,4,3,2,iobj,i,me,PRON,2,allow,CONTROL,OBJECT,PATIENT,Content writing,2
