lemma,upos,doc_count,total_count,mean_count,max_count,category,notes
break,VERB,14,16,1.1428571428571428,3,,
receive,VERB,14,16,1.1428571428571428,3,,
show,VERB,14,16,1.1428571428571428,2,,
utilize,VERB,14,15,1.0714285714285714,2,,
hit,VERB,14,14,1.0,1,,
stay,VERB,14,14,1.0,1,,
connect,VERB,13,15,1.1538461538461537,2,,
shift,VERB,13,15,1.1538461538461537,2,,
handle,VERB,13,14,1.0769230769230769,2,,
hear,VERB,13,14,1.0769230769230769,2,,
prepare,VERB,13,14,1.0769230769230769,2,,
record,VERB,13,14,1.0769230769230769,2,,
speak,VERB,13,14,1.0769230769230769,2,,
compare,VERB,13,13,1.0,1,,
deliver,VERB,13,13,1.0,1,,
guess,VERB,13,13,1.0,1,,
manage,VERB,13,13,1.0,1,,
spark,VERB,13,13,1.0,1,,
paint,VERB,12,19,1.5833333333333333,3,,
call,VERB,12,14,1.1666666666666667,2,,
hire,VERB,12,13,1.0833333333333333,2,,
offer,VERB,12,13,1.0833333333333333,2,,
search,VERB,12,13,1.0833333333333333,2,,
affect,VERB,12,12,1.0,1,,
automate,VERB,12,12,1.0,1,,
combine,VERB,12,12,1.0,1,,
mix,VERB,12,12,1.0,1,,
remember,VERB,12,12,1.0,1,,
expect,VERB,11,13,1.1818181818181819,2,,
guide,VERB,11,13,1.1818181818181819,3,,
clean,VERB,11,12,1.0909090909090908,2,,
paste,VERB,11,12,1.0909090909090908,2,,
accept,VERB,11,11,1.0,1,,
craft,VERB,11,11,1.0,1,,
determine,VERB,11,11,1.0,1,,
fall,VERB,11,11,1.0,1,,
maintain,VERB,11,11,1.0,1,,
wait,VERB,11,11,1.0,1,,
adapt,VERB,10,12,1.2,3,,
iterate,VERB,10,12,1.2,2,,
act,VERB,10,11,1.1,2,,
buy,VERB,10,11,1.1,2,,
direct,VERB,10,11,1.1,2,,
engage,VERB,10,11,1.1,2,,
notice,VERB,10,11,1.1,2,,
push,VERB,10,11,1.1,2,,
seek,VERB,10,11,1.1,2,,
stand,VERB,10,11,1.1,2,,
apply,VERB,10,10,1.0,1,,
attempt,VERB,10,10,1.0,1,,
copy,VERB,10,10,1.0,1,,
face,VERB,10,10,1.0,1,,
force,VERB,10,10,1.0,1,,
hone,VERB,10,10,1.0,1,,
lean,VERB,10,10,1.0,1,,
place,VERB,10,10,1.0,1,,
point,VERB,10,10,1.0,1,,
serve,VERB,10,10,1.0,1,,
share,VERB,10,10,1.0,1,,
request,VERB,9,13,1.4444444444444444,4,,
achieve,VERB,9,11,1.2222222222222223,2,,
catch,VERB,9,11,1.2222222222222223,3,,
hate,VERB,9,11,1.2222222222222223,2,,
settle,VERB,9,11,1.2222222222222223,2,,
fear,VERB,9,10,1.1111111111111112,2,,
support,VERB,9,10,1.1111111111111112,2,,
cause,VERB,9,9,1.0,1,,
clarify,VERB,9,9,1.0,1,,
increase,VERB,9,9,1.0,1,,
name,VERB,9,9,1.0,1,,
open,VERB,9,9,1.0,1,,
post,VERB,9,9,1.0,1,,
trust,VERB,9,9,1.0,1,,
gain,VERB,8,9,1.125,2,,
inspire,VERB,8,9,1.125,2,,
proceed,VERB,8,9,1.125,2,,
reduce,VERB,8,9,1.125,2,,
regard,VERB,8,9,1.125,2,,
admit,VERB,8,8,1.0,1,,
care,VERB,8,8,1.0,1,,
compose,VERB,8,8,1.0,1,,
double,VERB,8,8,1.0,1,,
experiment,VERB,8,8,1.0,1,,
flood,VERB,8,8,1.0,1,,
impact,VERB,8,8,1.0,1,,
limit,VERB,8,8,1.0,1,,
match,VERB,8,8,1.0,1,,
meet,VERB,8,8,1.0,1,,
redacte,VERB,8,8,1.0,1,,
remain,VERB,8,8,1.0,1,,
remind,VERB,8,8,1.0,1,,
rewrite,VERB,8,8,1.0,1,,
suppose,VERB,8,8,1.0,1,,
tailor,VERB,8,8,1.0,1,,
throw,VERB,8,8,1.0,1,,
touch,VERB,8,8,1.0,1,,
watch,VERB,8,8,1.0,1,,
replicate,VERB,7,11,1.5714285714285714,4,,
suspect,VERB,7,9,1.2857142857142858,2,,
appear,VERB,7,8,1.1428571428571428,2,,
assume,VERB,7,8,1.1428571428571428,2,,
envision,VERB,7,8,1.1428571428571428,2,,
represent,VERB,7,8,1.1428571428571428,2,,
align,VERB,7,7,1.0,1,,
alter,VERB,7,7,1.0,1,,
communicate,VERB,7,7,1.0,1,,
desire,VERB,7,7,1.0,1,,
employ,VERB,7,7,1.0,1,,
flesh,VERB,7,7,1.0,1,,
lack,VERB,7,7,1.0,1,,
pass,VERB,7,7,1.0,1,,
recognize,VERB,7,7,1.0,1,,
recommend,VERB,7,7,1.0,1,,
respond,VERB,7,7,1.0,1,,
shoot,VERB,7,7,1.0,1,,
sort,VERB,7,7,1.0,1,,
stop,VERB,7,7,1.0,1,,
streamline,VERB,7,7,1.0,1,,
switch,VERB,7,7,1.0,1,,
teach,VERB,7,7,1.0,1,,
tweak,VERB,7,7,1.0,1,,
steal,VERB,6,11,1.8333333333333333,4,,
deal,VERB,6,8,1.3333333333333333,3,,
intend,VERB,6,8,1.3333333333333333,2,,
polish,VERB,6,8,1.3333333333333333,3,,
accomplish,VERB,6,7,1.1666666666666667,2,,
contain,VERB,6,7,1.1666666666666667,2,,
execute,VERB,6,7,1.1666666666666667,2,,
fix,VERB,6,7,1.1666666666666667,2,,
matter,VERB,6,7,1.1666666666666667,2,,
oppose,VERB,6,7,1.1666666666666667,2,,
print,VERB,6,7,1.1666666666666667,2,,
purchase,VERB,6,7,1.1666666666666667,2,,
return,VERB,6,7,1.1666666666666667,2,,
review,VERB,6,7,1.1666666666666667,2,,
select,VERB,6,7,1.1666666666666667,2,,
access,VERB,6,6,1.0,1,,
adjust,VERB,6,6,1.0,1,,
animate,VERB,6,6,1.0,1,,
block,VERB,6,6,1.0,1,,
drop,VERB,6,6,1.0,1,,
establish,VERB,6,6,1.0,1,,
extract,VERB,6,6,1.0,1,,
fail,VERB,6,6,1.0,1,,
forget,VERB,6,6,1.0,1,,
hand,VERB,6,6,1.0,1,,
influence,VERB,6,6,1.0,1,,
lay,VERB,6,6,1.0,1,,
navigate,VERB,6,6,1.0,1,,
outsource,VERB,6,6,1.0,1,,
overwhelm,VERB,6,6,1.0,1,,
promote,VERB,6,6,1.0,1,,
retain,VERB,6,6,1.0,1,,
simplify,VERB,6,6,1.0,1,,
sit,VERB,6,6,1.0,1,,
specialize,VERB,6,6,1.0,1,,
speed,VERB,6,6,1.0,1,,
state,VERB,6,6,1.0,1,,
strike,VERB,6,6,1.0,1,,
tie,VERB,6,6,1.0,1,,
travel,VERB,6,6,1.0,1,,
express,VERB,5,7,1.4,2,,
pitch,VERB,5,7,1.4,3,,
enhance,VERB,5,6,1.2,2,,
implement,VERB,5,6,1.2,2,,
study,VERB,5,6,1.2,2,,
accuse,VERB,5,5,1.0,1,,
agree,VERB,5,5,1.0,1,,
compile,VERB,5,5,1.0,1,,
concern,VERB,5,5,1.0,1,,
convert,VERB,5,5,1.0,1,,
correct,VERB,5,5,1.0,1,,
download,VERB,5,5,1.0,1,,
encourage,VERB,5,5,1.0,1,,
extend,VERB,5,5,1.0,1,,
feature,VERB,5,5,1.0,1,,
free,VERB,5,5,1.0,1,,
gather,VERB,5,5,1.0,1,,
live,VERB,5,5,1.0,1,,
predict,VERB,5,5,1.0,1,,
prove,VERB,5,5,1.0,1,,
result,VERB,5,5,1.0,1,,
spe,VERB,5,5,1.0,1,,
spread,VERB,5,5,1.0,1,,
submit,VERB,5,5,1.0,1,,
suit,VERB,5,5,1.0,1,,
surround,VERB,5,5,1.0,1,,
synthesize,VERB,5,5,1.0,1,,
walk,VERB,5,5,1.0,1,,
wish,VERB,5,5,1.0,1,,
adopt,VERB,4,6,1.5,3,,
embrace,VERB,4,6,1.5,3,,
enter,VERB,4,6,1.5,2,,
advance,VERB,4,5,1.25,2,,
bother,VERB,4,5,1.25,2,,
challenge,VERB,4,5,1.25,2,,
enable,VERB,4,5,1.25,2,,
revise,VERB,4,5,1.25,2,,
showcase,VERB,4,5,1.25,2,,
translate,VERB,4,5,1.25,2,,
win,VERB,4,5,1.25,2,,
appreciate,VERB,4,4,1.0,1,,
approach,VERB,4,4,1.0,1,,
bear,VERB,4,4,1.0,1,,
blend,VERB,4,4,1.0,1,,
click,VERB,4,4,1.0,1,,
close,VERB,4,4,1.0,1,,
