transcript_id,role,section,lemma,upos,count
creativity_0000,user,dynamic,also,ADV,1
creativity_0000,user,dynamic,and,CCONJ,1
creativity_0000,user,dynamic,article,NOUN,1
creativity_0000,user,dynamic,be,AUX,3
creativity_0000,user,dynamic,but,CCONJ,1
creativity_0000,user,dynamic,composer,NOUN,1
creativity_0000,user,dynamic,connection,NOUN,1
creativity_0000,user,dynamic,consider,VERB,1
creativity_0000,user,dynamic,from,ADP,1
creativity_0000,user,dynamic,fun,ADJ,1
creativity_0000,user,dynamic,help,VERB,1
creativity_0000,user,dynamic,it,PRON,2
creativity_0000,user,dynamic,just,ADV,1
creativity_0000,user,dynamic,might,AUX,1
creativity_0000,user,dynamic,my,PRON,1
creativity_0000,user,dynamic,other,ADJ,1
creativity_0000,user,dynamic,own,ADJ,1
creativity_0000,user,dynamic,perspective,NOUN,1
creativity_0000,user,dynamic,refine,VERB,1
creativity_0000,user,dynamic,send,VERB,1
creativity_0000,user,dynamic,somewhat,ADV,1
creativity_0000,user,dynamic,suggest,VERB,1
creativity_0000,user,dynamic,that,PRON,1
creativity_0000,user,dynamic,the,DET,1
creativity_0000,user,dynamic,through,ADP,1
creativity_0000,user,extra_comments,!,PUNCT,1
creativity_0000,user,extra_comments,.,PUNCT,1
creativity_0000,user,extra_comments,I,PRON,1
creativity_0000,user,extra_comments,do,AUX,1
creativity_0000,user,extra_comments,easy,ADJ,1
creativity_0000,user,extra_comments,it,PRON,1
creativity_0000,user,extra_comments,not,PART,1
creativity_0000,user,extra_comments,so,ADV,1
creativity_0000,user,extra_comments,take,VERB,1
creativity_0000,user,extra_comments,think,VERB,1
creativity_0000,user,future,.,PUNCT,3
creativity_0000,user,future,I,PRON,2
creativity_0000,user,future,able,ADJ,1
creativity_0000,user,future,actually,ADV,1
creativity_0000,user,future,and,CCONJ,1
creativity_0000,user,future,aspect,NOUN,1
creativity_0000,user,future,be,AUX,1
creativity_0000,user,future,certainly,ADV,1
creativity_0000,user,future,do,AUX,1
creativity_0000,user,future,help,VERB,1
creativity_0000,user,future,hopefully,ADV,1
creativity_0000,user,future,idea,NOUN,1
creativity_0000,user,future,it,PRON,2
creativity_0000,user,future,know,VERB,1
creativity_0000,user,future,less,ADV,1
creativity_0000,user,future,make,VERB,1
creativity_0000,user,future,my,PRON,2
creativity_0000,user,future,non-creative,ADJ,1
creativity_0000,user,future,not,PART,1
creativity_0000,user,future,refine,VERB,1
creativity_0000,user,future,speed,VERB,1
creativity_0000,user,future,tedious,ADJ,1
creativity_0000,user,future,the,DET,1
creativity_0000,user,future,to,PART,1
creativity_0000,user,future,up,ADP,1
creativity_0000,user,future,will,AUX,2
creativity_0000,user,future,workflow,NOUN,1
creativity_0000,user,intro,!,PUNCT,1
creativity_0000,user,intro,.,PUNCT,2
creativity_0000,user,intro,I,PRON,2
creativity_0000,user,intro,be,AUX,1
creativity_0000,user,intro,for,ADP,1
creativity_0000,user,intro,get,VERB,1
creativity_0000,user,intro,good,ADJ,1
creativity_0000,user,intro,into,ADP,1
creativity_0000,user,intro,it,PRON,1
creativity_0000,user,intro,let,VERB,1
creativity_0000,user,intro,nice,ADJ,1
creativity_0000,user,intro,question,NOUN,1
creativity_0000,user,intro,think,VERB,1
creativity_0000,user,intro,we,PRON,1
creativity_0000,user,project_example,.,PUNCT,3
creativity_0000,user,project_example,AI,PROPN,2
creativity_0000,user,project_example,I,PRON,2
creativity_0000,user,project_example,Johannsson,PROPN,1
creativity_0000,user,project_example,a,DET,2
creativity_0000,user,project_example,analyse,VERB,1
creativity_0000,user,project_example,and,CCONJ,1
creativity_0000,user,project_example,arrival,NOUN,1
creativity_0000,user,project_example,ask,VERB,1
creativity_0000,user,project_example,basically,ADV,1
creativity_0000,user,project_example,be,AUX,5
creativity_0000,user,project_example,but,CCONJ,1
creativity_0000,user,project_example,by,ADP,1
creativity_0000,user,project_example,client,NOUN,1
creativity_0000,user,project_example,creative,ADJ,1
creativity_0000,user,project_example,critically,ADV,1
creativity_0000,user,project_example,essay,NOUN,1
creativity_0000,user,project_example,film,NOUN,2
creativity_0000,user,project_example,flow,VERB,1
creativity_0000,user,project_example,get,VERB,1
creativity_0000,user,project_example,good,ADJ,1
creativity_0000,user,project_example,have,AUX,2
creativity_0000,user,project_example,help,VERB,1
creativity_0000,user,project_example,it,PRON,1
creativity_0000,user,project_example,like,ADP,1
creativity_0000,user,project_example,make,VERB,1
creativity_0000,user,project_example,not,PART,1
creativity_0000,user,project_example,on,ADP,1
creativity_0000,user,project_example,out,ADP,1
creativity_0000,user,project_example,project,NOUN,1
creativity_0000,user,project_example,score,NOUN,2
creativity_0000,user,project_example,so,ADV,1
creativity_0000,user,project_example,something,PRON,1
creativity_0000,user,project_example,the,DET,3
creativity_0000,user,project_example,thinking,NOUN,1
