group,category,pos_group,lemma,token_count,cc_total,c_total,lemma_in_cluster,p_lemma_given_cluster_cat,p_lemma_given_cluster,distinctiveness_cluster
"Art, design, crafts",CONTROL,NOUN,control,13,378,10130,13,0.023809523809523808,0.0013082663048745035,2.9013828313879624
"Art, design, crafts",CONTROL,NOUN,direction,15,378,10130,15,0.027336860670194002,0.0015020835352262817,2.9013828313879624
"Art, design, crafts",CONTROL,NOUN,media,34,378,10130,34,0.06084656084656084,0.0033433472235681752,2.9013828313879624
"Art, design, crafts",CONTROL,NOUN,question,35,378,10130,35,0.06261022927689594,0.0034402558387440644,2.9013828313879624
"Art, design, crafts",CONTROL,NOUN,chat,6,378,10130,6,0.01146384479717813,0.0006299059986432793,2.901382831387962
"Art, design, crafts",CONTROL,NOUN,experience,5,378,10130,5,0.009700176366843033,0.0005329973834673902,2.901382831387962
"Art, design, crafts",CONTROL,VERB,allow,23,378,10130,23,0.04144620811287478,0.0022773524566333946,2.901382831387963
"Art, design, crafts",CONTROL,VERB,let,23,378,10130,23,0.04144620811287478,0.0022773524566333946,2.901382831387963
"Art, design, crafts",CONTROL,VERB,lead,13,378,10130,13,0.023809523809523808,0.0013082663048745035,2.9013828313879624
"Art, design, crafts",CONTROL,VERB,set,11,378,10130,11,0.020282186948853614,0.001114449074522725,2.9013828313879624
"Art, design, crafts",CONTROL,VERB,choose,9,378,10130,9,0.01675485008818342,0.0009206318441709468,2.901382831387962
"Art, design, crafts",CONTROL,VERB,decide,10,378,10130,10,0.018518518518518517,0.001017540459346836,2.901382831387962
"Art, design, crafts",CONTROL,VERB,determine,3,378,10130,3,0.006172839506172839,0.000339180153115612,2.901382831387962
"Art, design, crafts",CONTROL,VERB,direct,6,378,10130,6,0.01146384479717813,0.0006299059986432793,2.901382831387962
"Art, design, crafts",CONTROL,VERB,drive,18,378,10130,18,0.03262786596119929,0.001792809380753949,2.901382831387962
"Art, design, crafts",CONTROL,VERB,guide,3,378,10130,3,0.006172839506172839,0.000339180153115612,2.901382831387962
"Art, design, crafts",CONTROL,VERB,make,121,378,10130,121,0.21428571428571427,0.01177439674387053,2.901382831387962
"Art, design, crafts",CONTROL,VERB,manage,4,378,10130,4,0.007936507936507936,0.0004360887682915011,2.901382831387962
"Art, design, crafts",IDEATION,NOUN,reader,1,1952,10130,1,0.0007006071929005138,0.0001453629227638337,1.5727138465260326
"Art, design, crafts",IDEATION,NOUN,situation,1,1952,10130,1,0.0007006071929005138,0.0001453629227638337,1.5727138465260326
"Art, design, crafts",IDEATION,NOUN,area,10,1952,10130,10,0.004904250350303597,0.001017540459346836,1.5727138465260317
"Art, design, crafts",IDEATION,NOUN,blog,8,1952,10130,8,0.0039701074264362445,0.0008237232289950577,1.5727138465260317
